2,Derrick Henry ,10.8,7.0,2.9666666666666663,6.0,2.0,10.8,12.286006927490234
9,Derrick Henry ,27.5,8.319999999999999,1.6700000000000004,4.8,1.2,27.5,19.91341781616211
10,Derrick Henry ,20.6,9.009090909090908,1.663636363636364,5.454545454545454,1.0909090909090908,20.6,12.210258483886719
13,Derrick Henry ,39.1,9.492857142857144,1.4714285714285718,5.571428571428571,0.8571428571428571,39.1,8.213188171386719
14,Ezekiel Elliott,18.0,5.3,1.0,6.0,0.0,18.0,13.615219116210938
16,Ezekiel Elliott,10.5,9.633333333333333,1.0999999999999999,4.0,0.0,10.5,12.671600341796875
17,Ezekiel Elliott,15.1,8.1,1.575,4.5,0.0,15.1,16.144771575927734
19,Ezekiel Elliott,20.7,8.183333333333334,2.3333333333333335,5.0,0.0,20.7,17.50234603881836
29,Nick Chubb,15.8,7.5,1.0,0.0,0.0,15.8,8.183403015136719
31,Nick Chubb,36.3,7.766666666666666,2.6999999999999997,2.0,0.0,36.3,7.923919677734375
34,Nick Chubb,9.8,10.116666666666667,2.1333333333333333,6.0,0.0,9.8,18.669998168945312
35,Nick Chubb,9.1,10.542857142857143,1.9285714285714284,5.142857142857143,0.0,9.1,13.891483306884766
47,Christian McCaffrey ,41.7,10.275,5.449999999999999,6.0,0.0,41.7,8.835575103759766
49,Christian McCaffrey ,23.5,10.3,5.083333333333333,7.0,2.0,23.5,14.990867614746094
56,Christian McCaffrey ,29.5,9.384615384615385,5.584615384615384,5.538461538461538,1.8461538461538463,29.5,8.787834167480469
63,Chris Carson,21.9,7.6,2.1,1.2,2.4,21.9,10.285099029541016
72,Chris Carson,6.0,8.5,1.757142857142857,3.0,0.8571428571428571,6.0,9.501117706298828
74,Joe Mixon,15.4,1.35,0.85,0.0,0.0,15.4,11.602020263671875
76,Joe Mixon,10.9,3.7249999999999996,1.2999999999999998,0.0,1.5,10.9,32.63515090942383
81,Joe Mixon,16.3,4.822222222222222,1.6333333333333333,0.0,2.0,16.3,27.35039520263672
84,Joe Mixon,24.6,5.358333333333333,1.5833333333333333,1.0,1.5,24.6,14.57131576538086
90,Leonard Fournette ,24.5,5.966666666666666,3.1333333333333333,0.0,0.0,24.5,8.65536117553711
91,Leonard Fournette ,19.7,10.1,2.85,0.0,0.0,19.7,13.703197479248047
92,Leonard Fournette ,11.8,10.24,2.8600000000000003,1.2,0.0,11.8,16.326866149902344
94,Leonard Fournette ,13.6,10.214285714285714,2.8999999999999995,0.8571428571428571,0.0,13.6,12.311317443847656
